Node,to_Node,distance
Austria,Bosnia H,460.1770844326783
Austria,Belgium,804.9993903176993
Bosnia H,Belgium,1240.8076520458985
Austria,Bulgaria,1003.134450005818
Bosnia H,Bulgaria,623.1524786508829
Belgium,Bulgaria,1807.6792546967804
Austria,Switzerland,481.9224314543392
Bosnia H,Switzerland,815.3460582173963
Belgium,Switzerland,508.28899209016805
Bulgaria,Switzerland,1427.8666942035436
Austria,Czech R,272.5298639583931
Bosnia H,Czech R,677.5498993385921
Belgium,Czech R,755.5315641218527
Bulgaria,Czech R,1116.2271362568017
Switzerland,Czech R,617.4513770675788
Austria,Germany,488.4779782505236
Bosnia H,Germany,948.4935821401174
Belgium,Germany,420.76327336094533
Bulgaria,Germany,1452.3003489804867
Switzerland,Germany,501.73417085954804
Czech R,Germany,349.59097143547336
Austria,Denmark,1033.0325273091678
Bosnia H,Denmark,1477.843933159037
Belgium,Denmark,681.7617110330788
Bulgaria,Denmark,1889.0068010618397
Switzerland,Denmark,1044.9746656517862
Czech R,Denmark,804.2650420520829
Germany,Denmark,578.1433579146138
Austria,Estonia,1451.7287214248267
Bosnia H,Estonia,1719.29750184428
Belgium,Estonia,1597.0189619143196
Bulgaria,Estonia,1799.504398288958
Switzerland,Estonia,1753.5068907666503
Czech R,Estonia,1190.8193786662646
Germany,Estonia,1274.6381147167156
Denmark,Estonia,1003.3456666666046
Austria,Spain,1631.013697530378
Bosnia H,Spain,1790.0482211975586
Belgium,Spain,1325.4291599027847
Bulgaria,Spain,2391.0095609201107
Switzerland,Spain,1178.8142767802824
Czech R,Spain,1796.1934872853162
Germany,Spain,1613.589587583099
Denmark,Spain,2005.8087750291163
Estonia,Spain,2885.8557553360897
Austria,Finland,1981.6472865907988
Bosnia H,Finland,2283.821219221251
Belgium,Finland,1967.1135455769227
Bulgaria,Finland,2374.1235387350725
Switzerland,Finland,2221.3655124967977
Czech R,Finland,1711.7619996718415
Germany,Finland,1721.991982576517
Denmark,Finland,1296.401070757405
Estonia,Finland,577.2654839689759
Spain,Finland,3290.733019712246
Austria,France,909.9366192670248
Bosnia H,France,1234.7143111972441
Belgium,France,472.17934516202956
Bulgaria,France,1853.8622325570755
Switzerland,France,432.7360771429316
Czech R,France,998.4843820646086
Germany,France,760.9973199813392
Denmark,France,1152.5962486644328
Estonia,France,2025.0216561156835
Spain,France,864.5781668398275
Finland,France,2427.971561813846
Austria,Great Brit.,1266.322284992014
Bosnia H,Great Brit.,1704.797446878775
Belgium,Great Brit.,464.01685098779797
Bulgaria,Great Brit.,2266.953903165326
Switzerland,Great Brit.,945.9269266063901
Czech R,Great Brit.,1186.5246607628333
Germany,Great Brit.,837.219804535623
Denmark,Great Brit.,787.9771612243218
Estonia,Great Brit.,1791.0418159496217
Spain,Great Brit.,1411.0093532852336
Finland,Great Brit.,2044.558141481171
France,Great Brit.,722.3878664249911
Austria,Greece,1103.074752738963
Bosnia H,Greece,642.9362208838601
Belgium,Greece,1867.4330894746813
Bulgaria,Greece,493.80240662428514
Switzerland,Greece,1403.2468926313275
Czech R,Greece,1307.7124316556428
Germany,Greece,1591.4289939657176
Denmark,Greece,2111.9450484411973
Estonia,Greece,2208.6791514835354
Spain,Greece,2153.7918070630544
Finland,Greece,2785.756129734704
France,Greece,1786.2125918651295
Great Brit.,Greece,2329.3143422112125
Austria,Croatia,272.43021507120784
Bosnia H,Croatia,190.00029414867674
Belgium,Croatia,1066.6264146685353
Bulgaria,Croatia,755.7940718966527
Switzerland,Croatia,674.8898545653329
Czech R,Croatia,491.6639804167198
Germany,Croatia,759.6631802726413
Denmark,Croatia,1288.8754663939856
Estonia,Croatia,1581.1825855236448
Spain,Croatia,1732.5801672892246
Finland,Croatia,2136.569774447292
France,Croatia,1105.216687895356
Great Brit.,Croatia,1530.1834784669281
Greece,Croatia,832.1832911360534
Austria,Hungary,336.48205614309126
Bosnia H,Hungary,335.2019675307718
Belgium,Hungary,1122.1056993058405
Bulgaria,Hungary,698.3613664682886
Switzerland,Hungary,812.9048079946447
Czech R,Hungary,421.7022052678233
Germany,Hungary,754.0254917267731
Denmark,Hungary,1216.5625619758125
Estonia,Hungary,1384.166601993866
Spain,Hungary,1928.3347673157152
Finland,Hungary,1948.9723492624762
France,Hungary,1244.0317343468723
Great Brit.,Hungary,1575.571516889017
Greece,Hungary,908.6702913196347
Croatia,Hungary,225.86789493868835
Austria,Ireland,1729.1155426297853
Bosnia H,Ireland,2158.0412847336183
Belgium,Ireland,924.1568080296785
Bulgaria,Ireland,2731.797122934742
Switzerland,Ireland,1370.7470188369239
Czech R,Ireland,1656.885829554844
Germany,Ireland,1307.5390872433766
Denmark,Ireland,1178.3862710646592
Estonia,Ireland,2166.4780650581665
Spain,Ireland,1511.3549020323294
Finland,Ireland,2334.6740804750657
France,Ireland,1055.6479976732792
Great Brit.,Ireland,470.36243326299075
Greece,Ireland,2771.3219483598573
Croatia,Ireland,1988.514247927207
Hungary,Ireland,2043.4841111711444
Austria,Italy,433.6641423016569
Bosnia H,Italy,548.3909815741084
Belgium,Italy,852.2100811757739
Bulgaria,Italy,1170.391844100207
Switzerland,Italy,347.5594238432084
Czech R,Italy,684.5304718470106
Germany,Italy,739.5547051445506
Denmark,Italy,1316.3237802933243
Estonia,Italy,1875.3288433090158
Spain,Italy,1260.8291997194783
Finland,Italy,2389.6752951507638
France,Italy,711.3908635644607
Great Brit.,Italy,1293.3302912291244
Greece,Italy,1076.175979962986
Croatia,Italy,471.86990784498767
Hungary,Italy,676.0734980799465
Ireland,Italy,1712.0529884577488
Austria,Lithuania,1103.649549627165
Bosnia H,Lithuania,1332.681626507371
Belgium,Lithuania,1405.1431229942525
Bulgaria,Lithuania,1410.5816855685835
Switzerland,Lithuania,1461.9008317976318
Czech R,Lithuania,861.0778554061304
Germany,Lithuania,1025.6513704522945
Denmark,Lithuania,942.8630291553785
Estonia,Lithuania,395.73194882927373
Spain,Lithuania,2628.1445656636974
Finland,Lithuania,972.6531151571909
France,Lithuania,1785.8973890438954
Great Brit.,Lithuania,1689.3612962780785
Greece,Lithuania,1813.1034117187357
Croatia,Lithuania,1204.157951136494
Hungary,Lithuania,998.7136531921757
Ireland,Lithuania,2113.9117473983442
Italy,Lithuania,1535.8514754930864
Austria,Luxemb.,664.1131047967197
Bosnia H,Luxemb.,1091.408118382347
Belgium,Luxemb.,153.7969690664941
Bulgaria,Luxemb.,1666.939554208331
Switzerland,Luxemb.,360.26484942954806
Czech R,Luxemb.,647.6401298352952
Germany,Luxemb.,346.2854373063325
Denmark,Luxemb.,746.0444807903701
Estonia,Luxemb.,1594.3263046918605
Spain,Luxemb.,1295.5903780611786
Finland,Luxemb.,2001.1093052208296
France,Luxemb.,431.4870307102749
Great Brit.,Luxemb.,614.5715367132507
Greece,Luxemb.,1715.0487094692564
Croatia,Luxemb.,920.3288157048916
Hungary,Luxemb.,989.137997396434
Ireland,Luxemb.,1068.1955861117412
Italy,Luxemb.,700.6312036054294
Lithuania,Luxemb.,1368.023664983692
Austria,Latvia,1293.5138256455862
Bosnia H,Latvia,1527.8802035537647
Belgium,Latvia,1538.3110081692348
Bulgaria,Latvia,1583.087158673266
Switzerland,Latvia,1634.7509786719568
Czech R,Latvia,1044.599698597668
Germany,Latvia,1179.7466502440125
Denmark,Latvia,1011.0124465106464
Estonia,Latvia,218.0563990098827
Spain,Latvia,2791.2289403941254
Finland,Latvia,791.3186320073344
France,Latvia,1940.144527404763
Great Brit.,Latvia,1784.894787287517
Greece,Latvia,1998.3589063962163
Croatia,Latvia,1399.5919244781655
Hungary,Latvia,1194.1529856978752
Ireland,Latvia,2189.2830975386446
Italy,Latvia,1724.1653641172725
Lithuania,Latvia,195.58864616654955
Luxemb.,Latvia,1515.3062045891443
Austria,Macedonia,873.1184366573202
Bosnia H,Macedonia,422.167448955281
Belgium,Macedonia,1662.8438261699623
Bulgaria,Macedonia,321.41465955419494
Switzerland,Macedonia,1228.939257532801
Czech R,Macedonia,1055.5480983005334
Germany,Macedonia,1356.775952878178
Denmark,Macedonia,1858.5030249724803
Estonia,Macedonia,1938.6685319837538
Spain,Macedonia,2104.9205696909057
Finland,Macedonia,2515.479598135977
France,Macedonia,1637.155709826357
Great Brit.,Macedonia,2126.8555254591506
Greece,Macedonia,272.16096839377457
Croatia,Macedonia,601.3122997255135
Hungary,Macedonia,645.7458853421608
Ireland,Macedonia,2579.924273825384
Italy,Macedonia,930.335763852049
Lithuania,Macedonia,1542.9565263567292
Luxemb.,Macedonia,1513.574610163388
Latvia,Macedonia,1729.5106985996688
Austria,Netherlands,825.1394589952444
Bosnia H,Netherlands,1279.4728393279229
Belgium,Netherlands,171.90534425748083
Bulgaria,Netherlands,1813.5774282699788
Switzerland,Netherlands,623.4417082370011
Czech R,Netherlands,717.8741712719734
Germany,Netherlands,368.33587575939987
Denmark,Netherlands,510.1847425663019
Estonia,Netherlands,1444.1681531427218
Spain,Netherlands,1496.0135174153809
Finland,Netherlands,1798.9382569847694
France,Netherlands,643.9586034713919
Great Brit.,Netherlands,470.6041044428973
Greece,Netherlands,1917.9258787292392
Croatia,Netherlands,1096.178612667708
Hungary,Netherlands,1116.9673980076736
Ireland,Netherlands,940.3297819682234
Italy,Netherlands,951.8650638036277
Lithuania,Netherlands,1276.2518715599854
Luxemb.,Netherlands,270.24394918528
Latvia,Netherlands,1398.1267234248833
Macedonia,Netherlands,1697.4837649115887
Austria,NO1,1428.393291716836
Bosnia H,NO1,1848.0804664087343
Belgium,NO1,1116.628887062373
Bulgaria,NO1,2177.2240090603527
Switzerland,NO1,1490.7310414767971
Czech R,NO1,1173.3598557354358
Germany,NO1,1010.3927453174778
Denmark,NO1,447.8135245099127
Estonia,NO1,837.1051635016238
Spain,NO1,2429.830804423831
Finland,NO1,938.5153499280565
France,NO1,1588.7094862381657
Great Brit.,NO1,1113.4475003604418
Greece,NO1,2461.7128892713404
Croatia,NO1,1664.6468759449735
Hungary,NO1,1553.0760236778267
Ireland,NO1,1400.8111308315029
Italy,NO1,1749.1469603139944
Lithuania,NO1,962.6966157760419
Luxemb.,NO1,1192.0516234578636
Latvia,NO1,940.8244315533442
Macedonia,NO1,2197.32559304366
Netherlands,NO1,945.2087220102852
Austria,NO2,1372.1438528758965
Bosnia H,NO2,1813.845216812443
Belgium,NO2,945.9890760895504
Bulgaria,NO2,2200.4751578685796
Switzerland,NO2,1364.3566855977826
Czech R,NO2,1137.6037940997978
Germany,NO2,915.0377519843776
Denmark,NO2,339.711489890132
Estonia,NO2,1031.6934419514114
Spain,NO2,2238.6510801940235
Finland,NO2,1164.072720193771
France,NO2,1413.7029792526355
Great Brit.,NO2,894.7858397474193
Greece,NO2,2444.3255524240094
Croatia,NO2,1625.57830181281
Hungary,NO2,1542.6695059882964
Ireland,NO2,1175.6965802804261
Italy,NO2,1649.8652196315857
Lithuania,NO2,1098.1599438807539
Luxemb.,NO2,1040.3165944419322
Latvia,NO2,1108.141696670159
Macedonia,NO2,2187.4578490211584
Netherlands,NO2,778.8252401112846
NO1,NO2,225.83688044446882
Austria,NO3,1756.5466591155846
Bosnia H,NO3,2168.4370623820137
Belgium,NO3,1426.4330451922071
Bulgaria,NO3,2465.641377012648
Switzerland,NO3,1819.8563706774667
Czech R,NO3,1497.6000080137565
Germany,NO3,1342.5505643732852
Denmark,NO3,774.9332568792034
Estonia,NO3,928.7047434512415
Spain,NO3,2721.768556984285
Finland,NO3,812.2501019042024
France,NO3,1896.072873812848
Great Brit.,NO3,1358.0065657908042
Greece,NO3,2772.841723227482
Croatia,NO3,1987.3554207057298
Hungary,NO3,1865.1405430157506
Ireland,NO3,1569.130580461383
Italy,NO3,2081.446517857065
Lithuania,NO3,1162.5504789106972
Luxemb.,NO3,1512.3629355211506
Latvia,NO3,1088.895281820991
Macedonia,NO3,2505.62763596446
Netherlands,NO3,1257.1610302457718
NO1,NO3,332.31126119813683
NO2,NO3,483.7719376669319
Austria,NO4,2320.744881936868
Bosnia H,NO4,2695.837972570497
Belgium,NO4,2068.7176706471687
Bulgaria,NO4,2896.646315761596
Switzerland,NO4,2440.7365397564686
Czech R,NO4,2051.0759515442387
Germany,NO4,1949.583343004502
Denmark,NO4,1403.2238007129542
Estonia,NO4,1135.5289605775472
Spain,NO4,3367.3022932898843
Finland,NO4,661.7991700944692
France,NO4,2539.622615665309
Great Brit.,NO4,1994.149702304227
Greece,NO4,3261.4253477212305
Croatia,NO4,2525.950040537201
Hungary,NO4,2372.648730379085
Ireland,NO4,2158.6344594570933
Italy,NO4,2679.6144350071822
Lithuania,NO4,1495.3718088690562
Luxemb.,NO4,2148.0637229029116
Latvia,NO4,1349.269464664888
Macedonia,NO4,2989.5131837452213
Netherlands,NO4,1898.3020621956573
NO1,NO4,956.0267809297613
NO2,NO4,1129.3046118308353
NO3,NO4,645.6361823235038
Austria,NO5,1563.336341487682
Bosnia H,NO5,2002.8826910525347
Belgium,NO5,1118.4609093397344
Bulgaria,NO5,2376.076208023337
Switzerland,NO5,1551.5030969401714
Czech R,NO5,1325.8252026920795
Germany,NO5,1107.0681041282105
Denmark,NO5,531.7010044177218
Estonia,NO5,1084.9359627129638
Spain,NO5,2388.680290761752
Finland,NO5,1117.3989431477403
France,NO5,1580.2089291159966
Great Brit.,NO5,1010.6926660159123
Greece,NO5,2630.9473998573694
Croatia,NO5,1815.1179876235287
Hungary,NO5,1726.7691504810182
Ireland,NO5,1227.373527897702
Italy,NO5,1840.9591953522754
Lithuania,NO5,1211.3629789162985
Luxemb.,NO5,1221.0385672268576
Latvia,NO5,1193.4371975888855
Macedonia,NO5,2372.2883849274253
Netherlands,NO5,955.3280912518985
NO1,NO5,252.61603795772245
NO2,NO5,192.19103063043477
NO3,NO5,349.6908875582351
NO4,NO5,984.525351680527
Austria,Poland,630.2320276604728
Bosnia H,Poland,908.0863470564344
Belgium,Poland,1036.1085961501815
Bulgaria,Poland,1145.0881146187728
Switzerland,Poland,1003.0423783100624
Czech R,Poland,390.51449743733394
Germany,Poland,621.2353326470015
Denmark,Poland,795.8630091801991
Estonia,Poland,828.9158926743906
Spain,Poland,2179.28442438064
Finland,Poland,1380.0345760139455
France,Poland,1358.868667022315
Great Brit.,Poland,1402.2690719899028
Greece,Poland,1464.1243929749164
Croatia,Poland,756.5771630574513
Hungary,Poland,576.5678594819815
Ireland,Poland,1861.1383695889765
Italy,Poland,1061.7243520728564
Lithuania,Poland,474.22272535720566
Luxemb.,Poland,965.4183574617928
Latvia,Poland,663.3053722198578
Macedonia,Poland,1193.1738273123356
Netherlands,Poland,943.3147819722956
NO1,Poland,1032.7962058132223
NO2,Poland,1074.1651798720522
NO3,Poland,1323.0002688024113
NO4,Poland,1799.8942964290306
NO5,Poland,1240.2795568564648
Austria,Portugal,2050.3453456994885
Bosnia H,Portugal,2242.4327561151763
Belgium,Portugal,1620.8096515940572
Bulgaria,Portugal,2849.0303119534824
Switzerland,Portugal,1579.750841461951
Czech R,Portugal,2189.2891553605705
Germany,Portugal,1965.2948360399007
Denmark,Portugal,2277.7238349727163
Estonia,Portugal,3215.6109218993397
Spain,Portugal,463.10859582672987
Finland,Portugal,3574.1153098314007
France,Portugal,1205.2822403854057
Great Brit.,Portugal,1581.5984163933958
Greece,Portugal,2616.7392281295793
Croatia,Portugal,2174.096010812577
Hungary,Portugal,2360.8496145480535
Ireland,Portugal,1541.5395470016297
Italy,Portugal,1704.7278191025691
Lithuania,Portugal,2990.826905780617
Luxemb.,Portugal,1626.7778116152372
Latvia,Portugal,3142.0068813834155
Macedonia,Portugal,2566.2534946302944
Netherlands,Portugal,1781.8365479719535
NO1,Portugal,2672.29886807564
NO2,Portugal,2464.0968572566608
NO3,Portugal,2937.2176102505855
NO4,Portugal,3575.6641270882233
NO5,Portugal,2591.6358857434625
Poland,Portugal,2560.882435925322
Austria,Romania,821.682876897277
Bosnia H,Romania,605.1606508403137
Belgium,Romania,1593.8629937963517
Bulgaria,Romania,370.210622208215
Switzerland,Romania,1294.980645487581
Czech R,Romania,852.6756852268102
Germany,Romania,1201.9314313965954
Denmark,Romania,1574.22846270101
Estonia,Romania,1429.8428046671397
Spain,Romania,2374.7556616496295
Finland,Romania,2005.1540476211526
France,Romania,1727.2584845000695
Great Brit.,Romania,2037.366497996009
Greece,Romania,810.4451397384041
Croatia,Romania,644.5408498979573
Hungary,Romania,485.2029057682457
Ireland,Romania,2507.518204547127
Italy,Romania,1114.4655553691089
Lithuania,Romania,1040.3728437550706
Luxemb.,Romania,1467.2585620489435
Latvia,Romania,1213.8764879102578
Macedonia,Romania,561.4808626981343
Netherlands,Romania,1570.244756770823
NO1,Romania,1831.0868405574072
NO2,Romania,1871.0404816410205
NO3,Romania,2110.008478563108
NO4,Romania,2527.7850527290893
NO5,Romania,2040.1317883053373
Poland,Romania,800.1693306700417
Portugal,Romania,2818.4372221602457
Austria,Serbia,600.4570478920639
Bosnia H,Serbia,228.40033424690438
Belgium,Serbia,1404.7463181968176
Bulgaria,Serbia,411.5202116239739
Switzerland,Serbia,1016.6168271727785
Czech R,Serbia,753.1906302974743
Germany,Serbia,1069.3934686190091
Denmark,Serbia,1552.7347855616863
Estonia,Serbia,1652.9498836908042
Spain,Serbia,2018.44846211798
Finland,Serbia,2227.4676329919002
France,Serbia,1443.9227060967028
Great Brit.,Serbia,1866.7346737404896
Greece,Serbia,578.7781829366456
Croatia,Serbia,344.6462913201398
Hungary,Serbia,336.7384209427272
Ireland,Serbia,2328.4300002754962
Italy,Serbia,772.8750206298979
Lithuania,Serbia,1258.1290466682863
Luxemb.,Serbia,1261.0877987649671
Latvia,Serbia,1449.0749502082112
Macedonia,Serbia,310.66884835269275
Netherlands,Serbia,1421.9147393386559
NO1,Serbia,1886.7113925596693
NO2,Serbia,1879.4057648088155
NO3,Serbia,2195.1819708118655
NO4,Serbia,2685.195256560443
NO5,Serbia,2063.3066444206747
Poland,Serbia,886.1480794035881
Portugal,Serbia,2470.58932372467
Romania,Serbia,393.0336532832326
Austria,Sweden,1693.8685479072751
Bosnia H,Sweden,2076.14809067371
Belgium,Sweden,1486.7580207153476
Bulgaria,Sweden,2316.8240004843724
Switzerland,Sweden,1825.160992701524
Czech R,Sweden,1424.8490816559654
Germany,Sweden,1328.941680331478
Denmark,Sweden,806.3326037442744
Estonia,Sweden,685.4869897023926
Spain,Sweden,2806.761780384481
Finland,Sweden,581.6363714269743
France,Sweden,1958.4509139466024
Great Brit.,Sweden,1494.487892919768
Greece,Sweden,2656.2321314654187
Croatia,Sweden,1903.1705358412098
Hungary,Sweden,1757.8494625861347
Ireland,Sweden,1757.8365161526096
Italy,Sweden,2054.254555740005
Lithuania,Sweden,959.6411802400753
Luxemb.,Sweden,1549.9835330444146
Latvia,Sweden,861.7433325478358
Macedonia,Sweden,2385.4952559053963
Netherlands,Sweden,1314.8579595648052
NO1,Sweden,383.02351256504926
NO2,Sweden,600.4791545025992
NO3,Sweden,257.05019893489515
NO4,Sweden,627.2537227444523
NO5,Sweden,535.8836201838152
Poland,Sweden,1192.335824124339
Portugal,Sweden,3055.0918315409003
Romania,Sweden,1953.1166479155434
Serbia,Sweden,2077.7676636103934
Austria,Slovenia,156.2641714728617
Bosnia H,Slovenia,329.0614953018483
Belgium,Slovenia,912.1405087317419
Bulgaria,Slovenia,918.1518144612653
Switzerland,Slovenia,513.4234539173608
Czech R,Slovenia,423.25274289610644
Germany,Slovenia,633.466128331333
Denmark,Slovenia,1187.4784350255252
Estonia,Slovenia,1583.2297459290755
Spain,Slovenia,1599.2684901386317
Finland,Slovenia,2122.539193470373
France,Slovenia,944.8575361594428
Great Brit.,Slovenia,1376.1564135475096
Greece,Slovenia,965.9528073799873
Croatia,Slovenia,162.42242812732712
Hungary,Slovenia,329.22978842647257
Ireland,Slovenia,1831.3671208470328
Italy,Slovenia,350.0288111361206
Lithuania,Slovenia,1222.8262551082248
Luxemb.,Slovenia,763.6124077331177
Latvia,Slovenia,1415.8093879718192
Macedonia,Slovenia,750.7649299716644
Netherlands,Slovenia,952.2450076745018
NO1,Slovenia,1584.6510535572672
NO2,Slovenia,1526.8973623955349
NO3,Slovenia,1912.680487308178
NO4,Slovenia,2474.13979143032
NO5,Slovenia,1718.3361626929398
Poland,Slovenia,755.2171502092951
Portugal,Slovenia,2033.7782653242093
Romania,Slovenia,792.1458388477832
Serbia,Slovenia,506.8326132110727
Sweden,Slovenia,1847.629576467664
Austria,Slovakia,391.5480146798675
Bosnia H,Slovakia,527.4646882428661
Belgium,Slovakia,1088.1080460013545
Bulgaria,Slovakia,809.3761676842234
Switzerland,Slovakia,865.1602767041104
Czech R,Slovakia,336.34009135451646
Germany,Slovakia,685.8207029366694
Denmark,Slovakia,1079.6828315790194
Estonia,Slovakia,1192.225071097309
Spain,Slovakia,2022.4973393913826
Finland,Slovakia,1756.640250111379
France,Slovakia,1282.4304291552255
Great Brit.,Slovakia,1522.8642791015525
Greece,Slovakia,1081.7505680898712
Croatia,Slovakia,399.04580083917904
Hungary,Slovakia,192.3482135614598
Ireland,Slovakia,1993.2249184585987
Italy,Slovakia,800.2013363486107
Lithuania,Slovakia,808.5811856388403
Luxemb.,Slovakia,971.4650002269747
Latvia,Slovakia,1004.1614210353714
Macedonia,Slovakia,812.8730446864053
Netherlands,Slovakia,1053.9469256869925
NO1,Slovakia,1388.00667823454
NO2,Slovakia,1394.704513201198
NO3,Slovakia,1693.030874088789
NO4,Slovakia,2186.7602045084946
NO5,Slovakia,1574.0050243246544
Poland,Slovakia,387.4090199502393
Portugal,Slovakia,2440.639946742081
Romania,Slovakia,518.4748894405078
Serbia,Slovakia,503.0176604928721
Sweden,Slovakia,1575.7742924802549
Slovenia,Slovakia,453.6615282594427
Austria,Moray Firth,1671.0193992661348
Bosnia H,Moray Firth,2131.0803314459126
Belgium,Moray Firth,972.3174959515276
Bulgaria,Moray Firth,2616.839621001342
Switzerland,Moray Firth,1479.0789404071681
Czech R,Moray Firth,1501.7201042701668
Germany,Moray Firth,1183.8794838891636
Denmark,Moray Firth,775.0334915555088
Estonia,Moray Firth,1642.1786899663864
Spain,Moray Firth,2027.6472632659154
Finland,Moray Firth,1716.006516383368
France,Moray Firth,1340.7508524748073
Great Brit.,Moray Firth,630.6294253874102
Greece,Moray Firth,2773.6811988313398
Croatia,Moray Firth,1943.0684874691922
Hungary,Moray Firth,1923.0465815440793
Ireland,Moray Firth,662.6782484625558
Italy,Moray Firth,1817.8209469194123
Lithuania,Moray Firth,1685.6638886927092
Luxemb.,Moray Firth,1119.1014050997594
Latvia,Moray Firth,1713.303051901762
Macedonia,Moray Firth,2540.4638232828524
Netherlands,Moray Firth,870.0437404171416
NO1,Moray Firth,816.1095650391931
NO2,Moray Firth,610.6044821781153
NO3,Moray Firth,922.7940786834415
NO4,Moray Firth,1496.2935610985353
NO5,Moray Firth,599.3402298671349
Poland,Moray Firth,1567.2339795278092
Portugal,Moray Firth,2146.434769569911
Romania,Moray Firth,2325.5541626975314
Serbia,Moray Firth,2249.0495564858375
Sweden,Moray Firth,1134.3933779594763
Slovenia,Moray Firth,1809.683069958805
Slovakia,Moray Firth,1814.696647188939
Austria,Firth of Forth,1505.1889404961107
Bosnia H,Firth of Forth,1963.291387250812
Belgium,Firth of Forth,773.7816555818297
Bulgaria,Firth of Forth,2472.505608037866
Switzerland,Firth of Forth,1282.0539797105616
Czech R,Firth of Forth,1357.0328409885853
Germany,Firth of Forth,1024.3184381311207
Denmark,Firth of Forth,701.9962583721895
Estonia,Firth of Forth,1648.9202321297282
Spain,Firth of Forth,1823.9045748795413
Finland,Firth of Forth,1792.0485572505868
France,Firth of Forth,1129.3044270361775
Great Brit.,Firth of Forth,419.9917669783528
Greece,Firth of Forth,2603.802313358292
Croatia,Firth of Forth,1777.5405554365432
Hungary,Firth of Forth,1774.8122926853541
Ireland,Firth of Forth,542.7593966102268
